Designator,Mid X,Mid Y,Rotation,Layer
J1,119.3688,-81.8321,270.0,bottom
J2,127.4636,-81.8201,90.0,bottom
U1,114.358244,-80.011,180.0,top
U2,120.276444,-80.011,180.0,top
U3,126.194644,-80.011,180.0,top
U4,132.112844,-80.011,180.0,top
