Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",CONN_SM04B-SRSS-TB_JST,2,SM04B-SRSS-TB,
"U1, U2, U3, U4",LED_WS2812-2020,4,WS2812-2020,
